module_code,module_title,programme_code,module_year,semester,assessment_type,difficulty_level,social_requirements,creativity_requirements,practical_theoretical_balance,stress_level,group_work_intensity,independent_study_requirement,description
3.3.31.06,Capstone: Build and Test a Knowledge System for a Real-World Context,3.3.31,3,1,project,0.76,0.56,0.76,0.51,0.74,0.49,0.84,Final-year integrative project in Transdisciplinary Design and Praxis: Capstone: Build and Test a Knowledge System for a Real-World Context.
3.3.31.07,"Ethics of Representation, Abstraction, and Power",3.3.31,3,1,essay,0.78,0.58,0.75,0.54,0.61,0.46,0.75,"Advanced module in Transdisciplinary Design and Praxis: Ethics of Representation, Abstraction, and Power."
3.3.31.08,Translating Between Worlds: Interdisciplinary Bridge-Building,3.3.31,3,2,essay,0.68,0.58,0.82,0.47,0.61,0.48,0.74,Advanced module in Transdisciplinary Design and Praxis: Translating Between Worlds: Interdisciplinary Bridge-Building.
1.3.7.07,Design Studio II: Commissions and Constraints,1.3.7,3,1,project,0.6,0.47,0.73,0.87,0.62,0.4,0.7,Advanced module in Forge Arts and Metallurgy: Design Studio II: Commissions and Constraints.
1.3.7.08,Capstone: Precision Artefact for Client or Cause,1.3.7,3,1,project,0.83,0.52,0.68,0.88,0.72,0.36,0.84,Final-year integrative project in Forge Arts and Metallurgy: Capstone: Precision Artefact for Client or Cause.
1.3.7.09,"Ethics in Craft, Ownership, and Replication",1.3.7,3,2,practical,0.71,0.53,0.71,0.91,0.64,0.42,0.72,"Advanced module in Forge Arts and Metallurgy: Ethics in Craft, Ownership, and Replication."
2.1.17.06,Capstone: Weaving a Continuity Practice for a Community,2.1.17,3,1,project,0.79,0.87,0.64,0.56,0.76,0.71,0.86,"Final-year integrative project in Education, Eldership, and Mentoring: Capstone: Weaving a Continuity Practice for a Community."
2.1.17.07,Designing Care-Centred Institutions,2.1.17,3,1,mixed,0.71,0.84,0.72,0.61,0.66,0.66,0.69,"Advanced module in Education, Eldership, and Mentoring: Designing Care-Centred Institutions."
2.1.17.08,Understanding Through Witnessing and Storycatching,2.1.17,3,2,mixed,0.69,0.79,0.69,0.58,0.66,0.59,0.72,"Advanced module in Education, Eldership, and Mentoring: Understanding Through Witnessing and Storycatching."
4.2.36.06,Capstone: Design a Community Ritual of Remembrance,4.2.36,3,1,project,0.79,0.76,0.75,0.41,0.79,0.61,0.82,Final-year integrative project in Oral Histories and Memorycraft: Capstone: Design a Community Ritual of Remembrance.
4.2.36.07,Time Loops and Re-Enactment in Social Healing,4.2.36,3,1,essay,0.75,0.69,0.67,0.46,0.66,0.48,0.72,Advanced module in Oral Histories and Memorycraft: Time Loops and Re-Enactment in Social Healing.
4.2.36.08,Forgetting as a Political Act: Erasure and Resistance,4.2.36,3,2,essay,0.79,0.7,0.68,0.41,0.65,0.5,0.74,Advanced module in Oral Histories and Memorycraft: Forgetting as a Political Act: Erasure and Resistance.
1.3.8.06,Capstone: Performative Craft and the Public Forge,1.3.8,3,1,project,0.8,0.54,0.75,0.89,0.78,0.36,0.83,Final-year integrative project in Forge Arts and Metallurgy: Capstone: Performative Craft and the Public Forge.
1.3.8.07,History and Philosophy of the Hammered Object,1.3.8,3,2,practical,0.77,0.49,0.72,0.86,0.61,0.39,0.74,Advanced module in Forge Arts and Metallurgy: History and Philosophy of the Hammered Object.
3.3.32.06,Capstone: Perform or Document an Embodied Research Process,3.3.32,3,1,project,0.72,0.56,0.75,0.49,0.78,0.45,0.83,Final-year integrative project in Transdisciplinary Design and Praxis: Capstone: Perform or Document an Embodied Research Process.
3.3.32.07,Designing Research with Care and Consent,3.3.32,3,1,essay,0.64,0.53,0.81,0.48,0.68,0.52,0.75,Advanced module in Transdisciplinary Design and Praxis: Designing Research with Care and Consent.
3.3.32.08,Beyond Objectivity: Knowing Through Being and Becoming,3.3.32,3,2,essay,0.71,0.59,0.81,0.54,0.66,0.49,0.73,Advanced module in Transdisciplinary Design and Praxis: Beyond Objectivity: Knowing Through Being and Becoming.
3.2.29.06,Capstone: Design and Evaluate a Multi-Generational Learning Experience,3.2.29,3,1,project,0.74,0.67,0.74,0.3,0.76,0.53,0.82,Final-year integrative project in Learning Futures: Capstone: Design and Evaluate a Multi-Generational Learning Experience.
3.2.29.07,Learning as Kinship: Ethics and Boundaries of Relational Education,3.2.29,3,1,essay,0.76,0.6,0.74,0.35,0.63,0.47,0.71,Advanced module in Learning Futures: Learning as Kinship: Ethics and Boundaries of Relational Education.
3.2.29.08,"Time, Trust, and Transmission: Rethinking Educational Legacies",3.2.29,3,2,essay,0.75,0.55,0.72,0.34,0.62,0.45,0.71,"Advanced module in Learning Futures: Time, Trust, and Transmission: Rethinking Educational Legacies."
4.4.44.06,Capstone: Build a Narrative Framework for an Imagined Institution,4.4.44,3,1,project,0.72,0.69,0.82,0.29,0.74,0.49,0.86,Final-year integrative project in Political Myth and Governance: Capstone: Build a Narrative Framework for an Imagined Institution.
4.4.44.07,Collapse and Rewriting: Institutional Myth as Adaptive Device,4.4.44,3,1,essay,0.74,0.69,0.72,0.27,0.68,0.52,0.73,Advanced module in Political Myth and Governance: Collapse and Rewriting: Institutional Myth as Adaptive Device.
4.4.44.08,"Governance as Theatre: Staging Trust, Accountability, and Change",4.4.44,3,2,essay,0.69,0.64,0.71,0.28,0.63,0.5,0.69,"Advanced module in Political Myth and Governance: Governance as Theatre: Staging Trust, Accountability, and Change."
1.3.9.06,Capstone: Restore a Historical Object (with Archive Companion),1.3.9,3,1,project,0.82,0.52,0.65,0.86,0.72,0.34,0.86,Final-year integrative project in Forge Arts and Metallurgy: Capstone: Restore a Historical Object (with Archive Companion).
1.3.9.07,Speculative Restoration: Imagining Futures from Fragments,1.3.9,3,2,practical,0.75,0.52,0.73,0.92,0.68,0.34,0.69,Advanced module in Forge Arts and Metallurgy: Speculative Restoration: Imagining Futures from Fragments.
4.3.39.06,Capstone: Design a Governance Ritual for a Fractured Realm,4.3.39,3,1,project,0.88,0.63,0.77,0.15,0.73,0.48,0.83,Final-year integrative project in Philosophy and Ethics: Capstone: Design a Governance Ritual for a Fractured Realm.
4.3.39.07,"Shadow of the Grove: Corruption, Exile, and Redemption",4.3.39,3,1,essay,0.72,0.66,0.73,0.14,0.63,0.56,0.77,"Advanced module in Philosophy and Ethics: Shadow of the Grove: Corruption, Exile, and Redemption."
4.3.39.08,Legacy and Liminality: Ruling Across Time and Species,4.3.39,3,2,essay,0.78,0.61,0.74,0.13,0.69,0.52,0.81,Advanced module in Philosophy and Ethics: Legacy and Liminality: Ruling Across Time and Species.
4.3.41.06,Capstone: Curate a Living Codex of Wisdom for a Future Generation,4.3.41,3,1,project,0.8,0.68,0.74,0.15,0.76,0.56,0.81,Final-year integrative project in Philosophy and Ethics: Capstone: Curate a Living Codex of Wisdom for a Future Generation.
4.3.41.07,Walking the Spiral Path: Unknowing as Moral Maturity,4.3.41,3,1,essay,0.79,0.69,0.73,0.15,0.67,0.54,0.81,Advanced module in Philosophy and Ethics: Walking the Spiral Path: Unknowing as Moral Maturity.
4.3.41.08,The Listener’s Burden: Ethics in Reception and Response,4.3.41,3,2,essay,0.62,0.61,0.76,0.12,0.68,0.48,0.74,Advanced module in Philosophy and Ethics: The Listener’s Burden: Ethics in Reception and Response.
4.4.43.06,Capstone: Design a Ritual Process for Conflict Repair,4.4.43,3,1,project,0.79,0.66,0.8,0.25,0.74,0.48,0.83,Final-year integrative project in Political Myth and Governance: Capstone: Design a Ritual Process for Conflict Repair.
4.4.43.07,From Fracture to Fractal: Nested Conflict Systems,4.4.43,3,1,essay,0.7,0.67,0.75,0.24,0.68,0.55,0.69,Advanced module in Political Myth and Governance: From Fracture to Fractal: Nested Conflict Systems.
4.4.43.08,Beauty as Mediator: Aesthetic Practice in Governance Repair,4.4.43,3,2,essay,0.66,0.66,0.82,0.28,0.65,0.49,0.73,Advanced module in Political Myth and Governance: Beauty as Mediator: Aesthetic Practice in Governance Repair.
1.2.5.06,Capstone: Biotech Solutions with Mycelial Systems,1.2.5,3,1,project,0.76,0.61,0.59,0.82,0.76,0.54,0.83,Final-year integrative project in Food and Sustenance Technologies: Capstone: Biotech Solutions with Mycelial Systems.
1.2.5.07,Ethics and Entanglements in Biotech Innovation,1.2.5,3,2,practical,0.78,0.62,0.63,0.82,0.69,0.56,0.69,Advanced module in Food and Sustenance Technologies: Ethics and Entanglements in Biotech Innovation.
3.2.30.06,Capstone: Prototype a Learning Process for a Complex Challenge,3.2.30,3,1,project,0.92,0.55,0.68,0.29,0.72,0.44,0.79,Final-year integrative project in Learning Futures: Capstone: Prototype a Learning Process for a Complex Challenge.
3.2.30.07,Rehearsing the Unthinkable: Scenario Pedagogies and Ritual Learning,3.2.30,3,1,essay,0.8,0.62,0.74,0.32,0.62,0.44,0.71,Advanced module in Learning Futures: Rehearsing the Unthinkable: Scenario Pedagogies and Ritual Learning.
3.2.30.08,"Rebuilding from the Rubble: Hope, Failure, and Regenerative Education",3.2.30,3,2,essay,0.61,0.58,0.7,0.31,0.69,0.45,0.73,"Advanced module in Learning Futures: Rebuilding from the Rubble: Hope, Failure, and Regenerative Education."
1.5.12.07,Capstone: Re-imagining a Public Utility Through Runes,1.5.12,3,1,project,0.71,0.53,0.69,0.7,0.77,0.49,0.84,Final-year integrative project in Stonework and Structural Alchemy: Capstone: Re-imagining a Public Utility Through Runes.
1.5.12.08,Regulatory Glyphs and Civic Design,1.5.12,3,1,practical,0.73,0.52,0.73,0.74,0.61,0.5,0.72,Advanced module in Stonework and Structural Alchemy: Regulatory Glyphs and Civic Design.
1.5.12.09,Ethics of Enchantment in Shared Environments,1.5.12,3,2,practical,0.76,0.55,0.66,0.71,0.66,0.52,0.67,Advanced module in Stonework and Structural Alchemy: Ethics of Enchantment in Shared Environments.
1.1.2.06,Conflict Transformation and Restorative Governance,1.1.2,3,1,practical,0.61,0.72,0.61,0.77,0.64,0.72,0.67,Advanced module in Community Labour & Cooperative Innovation: Conflict Transformation and Restorative Governance.
1.1.2.07,Capstone Project: Establishing a Living Charter,1.1.2,3,1,project,0.73,0.72,0.61,0.81,0.76,0.66,0.86,Final-year integrative project in Community Labour & Cooperative Innovation: Capstone Project: Establishing a Living Charter.
1.1.2.08,Governance Design for Emergent Communities,1.1.2,3,2,practical,0.6,0.72,0.65,0.77,0.61,0.71,0.71,Advanced module in Community Labour & Cooperative Innovation: Governance Design for Emergent Communities.
2.1.15.06,Mentorship in Context II: Practicum and Peer Feedback,2.1.15,3,1,mixed,0.69,0.82,0.68,0.59,0.68,0.6,0.73,"Advanced module in Education, Eldership, and Mentoring: Mentorship in Context II: Practicum and Peer Feedback."
2.1.15.07,Capstone: Designing a Radical Mentorship Programme,2.1.15,3,1,project,0.88,0.77,0.71,0.58,0.77,0.63,0.81,"Final-year integrative project in Education, Eldership, and Mentoring: Capstone: Designing a Radical Mentorship Programme."
2.1.15.08,"Navigating Endings: Legacy, Loss, and Letting Go",2.1.15,3,2,mixed,0.61,0.83,0.65,0.56,0.67,0.64,0.73,"Advanced module in Education, Eldership, and Mentoring: Navigating Endings: Legacy, Loss, and Letting Go."
4.3.40.06,Capstone: Re-map a System Through Critical Cartography,4.3.40,3,1,project,0.85,0.63,0.69,0.14,0.75,0.48,0.86,Final-year integrative project in Philosophy and Ethics: Capstone: Re-map a System Through Critical Cartography.
4.3.40.07,The Hollow Tree: Power’s Absences and Afterlives,4.3.40,3,1,essay,0.72,0.66,0.76,0.14,0.66,0.5,0.78,Advanced module in Philosophy and Ethics: The Hollow Tree: Power’s Absences and Afterlives.
4.3.40.08,Dreaming New Structures: An Ethics of Emergence,4.3.40,3,2,essay,0.67,0.64,0.68,0.19,0.65,0.55,0.76,Advanced module in Philosophy and Ethics: Dreaming New Structures: An Ethics of Emergence.
2.4.25.06,Capstone: Construct a Plural-Time Framework for a Real-World Setting,2.4.25,3,1,project,0.76,0.71,0.73,0.55,0.74,0.69,0.81,"Final-year integrative project in Rites, Rest, and Renewal: Capstone: Construct a Plural-Time Framework for a Real-World Setting."
2.4.25.07,"Timekeeping and Power: Whose Time, Whose Pace?",2.4.25,3,1,mixed,0.75,0.69,0.68,0.52,0.61,0.71,0.7,"Advanced module in Rites, Rest, and Renewal: Timekeeping and Power: Whose Time, Whose Pace?."
2.4.25.08,Futures of Time: Nonlinear Learning and Post-Work Worlds,2.4.25,3,2,mixed,0.73,0.69,0.75,0.59,0.69,0.72,0.7,"Advanced module in Rites, Rest, and Renewal: Futures of Time: Nonlinear Learning and Post-Work Worlds."
2.4.24.06,Capstone: Design and Facilitate a Public Ceremony,2.4.24,3,1,project,0.7,0.8,0.8,0.55,0.78,0.68,0.83,"Final-year integrative project in Rites, Rest, and Renewal: Capstone: Design and Facilitate a Public Ceremony."
2.4.24.07,Ceremony in Activism and Social Change,2.4.24,3,1,mixed,0.75,0.72,0.76,0.52,0.61,0.64,0.73,"Advanced module in Rites, Rest, and Renewal: Ceremony in Activism and Social Change."
2.4.24.08,Ethics of Cultural Borrowing and Ancestral Respect,2.4.24,3,2,essay,0.78,0.69,0.69,0.52,0.68,0.72,0.71,"Advanced module in Rites, Rest, and Renewal: Ethics of Cultural Borrowing and Ancestral Respect."
4.2.38.06,Capstone: Curate a Multimodal Folklore Archive,4.2.38,3,1,project,0.84,0.69,0.65,0.44,0.78,0.5,0.79,Final-year integrative project in Oral Histories and Memorycraft: Capstone: Curate a Multimodal Folklore Archive.
4.2.38.07,"Rituals of Retelling: When to Hold, When to Change",4.2.38,3,1,essay,0.7,0.76,0.68,0.49,0.64,0.54,0.66,"Advanced module in Oral Histories and Memorycraft: Rituals of Retelling: When to Hold, When to Change."
4.2.38.08,Decolonising the Archive: Authority and Access,4.2.38,3,2,essay,0.65,0.7,0.67,0.48,0.68,0.55,0.68,Advanced module in Oral Histories and Memorycraft: Decolonising the Archive: Authority and Access.
4.4.42.06,Capstone: Design a Consensus Model for a Fractured Society,4.4.42,3,1,project,0.87,0.68,0.78,0.32,0.76,0.5,0.81,Final-year integrative project in Political Myth and Governance: Capstone: Design a Consensus Model for a Fractured Society.
4.4.42.07,Dissent as Design Element,4.4.42,3,1,essay,0.63,0.63,0.81,0.27,0.65,0.55,0.72,Advanced module in Political Myth and Governance: Dissent as Design Element.
4.4.42.08,Sustaining Consent in the Face of Chaos and Change,4.4.42,3,2,essay,0.6,0.64,0.72,0.25,0.64,0.5,0.69,Advanced module in Political Myth and Governance: Sustaining Consent in the Face of Chaos and Change.
1.4.10.07,Capstone: Design a Regenerative Systems Intervention,1.4.10,3,1,project,0.79,0.51,0.67,0.75,0.77,0.48,0.86,Final-year integrative project in Mechanics and Engineering: Capstone: Design a Regenerative Systems Intervention.
1.4.10.08,"Feedback, Control, and Agency",1.4.10,3,1,practical,0.83,0.51,0.62,0.76,0.67,0.44,0.74,"Advanced module in Mechanics and Engineering: Feedback, Control, and Agency."
1.4.10.09,"Power, Failure, and Resilience in Engineered Systems",1.4.10,3,2,practical,0.81,0.54,0.66,0.72,0.63,0.5,0.69,"Advanced module in Mechanics and Engineering: Power, Failure, and Resilience in Engineered Systems."
4.2.37.06,Capstone: Co-Create a Storyweaving Project With a Living Community,4.2.37,3,1,project,0.75,0.83,0.71,0.47,0.75,0.57,0.78,Final-year integrative project in Oral Histories and Memorycraft: Capstone: Co-Create a Storyweaving Project With a Living Community.
4.2.37.07,Counter-Histories and Disobedient Narratives,4.2.37,3,1,essay,0.66,0.71,0.68,0.49,0.66,0.52,0.71,Advanced module in Oral Histories and Memorycraft: Counter-Histories and Disobedient Narratives.
4.2.37.08,"Narrating the Future: Hope, Speculation, Legacy",4.2.37,3,2,essay,0.72,0.72,0.64,0.44,0.63,0.55,0.71,"Advanced module in Oral Histories and Memorycraft: Narrating the Future: Hope, Speculation, Legacy."
1.1.1.07,Designing Resilient Workshop Networks,1.1.1,3,1,practical,0.69,0.68,0.71,0.76,0.62,0.66,0.72,Advanced module in Community Labour & Cooperative Innovation: Designing Resilient Workshop Networks.
1.1.1.08,Capstone Project: Building a Distributed Enterprise,1.1.1,3,1,project,0.71,0.72,0.66,0.78,0.71,0.7,0.83,Final-year integrative project in Community Labour & Cooperative Innovation: Capstone Project: Building a Distributed Enterprise.
1.1.1.09,Cooperative Finance and Circular Economies,1.1.1,3,2,practical,0.76,0.73,0.66,0.74,0.69,0.76,0.74,Advanced module in Community Labour & Cooperative Innovation: Cooperative Finance and Circular Economies.
3.1.27.06,Capstone: Design an Intervention for Epistemic Justice in a Chosen Setting,3.1.27,3,1,project,0.88,0.58,0.77,0.16,0.72,0.45,0.86,Final-year integrative project in Ecologies of Knowledge: Capstone: Design an Intervention for Epistemic Justice in a Chosen Setting.
3.1.27.07,"Ethics of Citation, Silence, and Centreing",3.1.27,3,1,essay,0.61,0.58,0.76,0.17,0.61,0.44,0.85,"Advanced module in Ecologies of Knowledge: Ethics of Citation, Silence, and Centreing."
3.1.27.08,From Justice to Joy: Knowledge for Liberation,3.1.27,3,2,essay,0.61,0.59,0.74,0.18,0.66,0.48,0.86,Advanced module in Ecologies of Knowledge: From Justice to Joy: Knowledge for Liberation.
4.1.33.06,Capstone: Translate and Annotate a Ritual or Found Text,4.1.33,3,1,project,0.78,0.61,0.75,0.36,0.74,0.56,0.81,Final-year integrative project in Language and Symbol: Capstone: Translate and Annotate a Ritual or Found Text.
4.1.33.07,Language Death and Revival: A Political Linguistics Practicum,4.1.33,3,1,mixed,0.74,0.64,0.73,0.35,0.62,0.51,0.7,Advanced module in Language and Symbol: Language Death and Revival: A Political Linguistics Practicum.
4.1.33.08,Polyphonic Meaning: Translating Without Colonising,4.1.33,3,2,essay,0.67,0.57,0.73,0.33,0.64,0.5,0.66,Advanced module in Language and Symbol: Polyphonic Meaning: Translating Without Colonising.
1.5.14.06,Capstone: Restore or Re-invent an Ancient System,1.5.14,3,1,project,0.88,0.5,0.75,0.75,0.79,0.51,0.83,Final-year integrative project in Stonework and Structural Alchemy: Capstone: Restore or Re-invent an Ancient System.
1.5.14.07,Ritual Futures: Designing for Durable Complexity,1.5.14,3,2,practical,0.8,0.47,0.74,0.7,0.64,0.46,0.72,Advanced module in Stonework and Structural Alchemy: Ritual Futures: Designing for Durable Complexity.
1.5.13.07,Capstone: Design and Construct a Habitat Aligned with Ecosystem Needs,1.5.13,3,1,project,0.79,0.46,0.7,0.7,0.72,0.45,0.82,Final-year integrative project in Stonework and Structural Alchemy: Capstone: Design and Construct a Habitat Aligned with Ecosystem Needs.
1.5.13.08,Regenerative Ruins: Architecture Across Time,1.5.13,3,1,practical,0.68,0.46,0.66,0.7,0.64,0.52,0.73,Advanced module in Stonework and Structural Alchemy: Regenerative Ruins: Architecture Across Time.
1.5.13.09,Stone as Story: Embedding Meaning into Form,1.5.13,3,2,practical,0.66,0.5,0.7,0.75,0.66,0.47,0.73,Advanced module in Stonework and Structural Alchemy: Stone as Story: Embedding Meaning into Form.
4.1.34.06,Capstone: Develop a Scripted System for a Specific Community or Use,4.1.34,3,1,project,0.72,0.65,0.73,0.37,0.75,0.64,0.85,Final-year integrative project in Language and Symbol: Capstone: Develop a Scripted System for a Specific Community or Use.
4.1.34.07,Runic Encoding and Hidden Messages,4.1.34,3,1,essay,0.62,0.63,0.72,0.35,0.66,0.55,0.68,Advanced module in Language and Symbol: Runic Encoding and Hidden Messages.
4.1.34.08,"Power and the Written Form: Archives, Seals, and Spells",4.1.34,3,2,essay,0.62,0.61,0.76,0.39,0.68,0.49,0.66,"Advanced module in Language and Symbol: Power and the Written Form: Archives, Seals, and Spells."
2.2.18.06,Capstone: Design a Personal or Communal Apothecary,2.2.18,3,1,project,0.78,0.71,0.75,0.63,0.79,0.58,0.92,Final-year integrative project in Healing and Embodied Knowledge: Capstone: Design a Personal or Communal Apothecary.
2.2.18.07,Energetic Boundaries and Practitioner Resilience,2.2.18,3,1,mixed,0.63,0.71,0.65,0.64,0.63,0.69,0.7,Advanced module in Healing and Embodied Knowledge: Energetic Boundaries and Practitioner Resilience.
2.2.18.08,Rewilding the Self: Herbal Knowledge,2.2.18,3,2,mixed,0.78,0.73,0.67,0.63,0.61,0.72,0.71,Advanced module in Healing and Embodied Knowledge: Rewilding the Self: Herbal Knowledge.
1.4.11.07,"Capstone: Multisensory Systems Design (Water, Sound, Motion)",1.4.11,3,1,project,0.77,0.46,0.65,0.74,0.76,0.51,0.8,"Final-year integrative project in Mechanics and Engineering: Capstone: Multisensory Systems Design (Water, Sound, Motion)."
1.4.11.08,"Philosophy of Flow: Tribal, Dwarven, and Ecological Perspectives",1.4.11,3,2,practical,0.83,0.52,0.62,0.69,0.65,0.51,0.72,"Advanced module in Mechanics and Engineering: Philosophy of Flow: Tribal, Dwarven, and Ecological Perspectives."
2.2.20.06,Capstone: Dream Inquiry Portfolio or Performance,2.2.20,3,1,project,0.73,0.7,0.66,0.64,0.74,0.66,0.79,Final-year integrative project in Healing and Embodied Knowledge: Capstone: Dream Inquiry Portfolio or Performance.
2.2.20.07,Cross-Cultural Perspectives on Dream Work,2.2.20,3,1,mixed,0.76,0.76,0.68,0.65,0.69,0.65,0.66,Advanced module in Healing and Embodied Knowledge: Cross-Cultural Perspectives on Dream Work.
2.2.20.08,Dreaming in Systems: Collective Unconscious and Social Change,2.2.20,3,2,mixed,0.62,0.8,0.7,0.67,0.63,0.74,0.74,Advanced module in Healing and Embodied Knowledge: Dreaming in Systems: Collective Unconscious and Social Change.
2.3.21.07,Capstone: Transform a Space for Restorative Use,2.3.21,3,1,project,0.82,0.89,0.68,0.59,0.72,0.74,0.78,Final-year integrative project in Hospitality and Conflict Holding: Capstone: Transform a Space for Restorative Use.
2.3.21.08,Ethics of Hospitality and Access,2.3.21,3,1,essay,0.79,0.83,0.71,0.63,0.61,0.71,0.71,Advanced module in Hospitality and Conflict Holding: Ethics of Hospitality and Access.
2.3.21.09,"Designing for Uncertainty: Crisis, Grief, Renewal",2.3.21,3,2,mixed,0.72,0.89,0.73,0.63,0.65,0.68,0.69,"Advanced module in Hospitality and Conflict Holding: Designing for Uncertainty: Crisis, Grief, Renewal."
2.4.26.06,Capstone: Design a Rite Rooted in Place and Lineage,2.4.26,3,1,project,0.8,0.72,0.75,0.58,0.77,0.68,0.78,"Final-year integrative project in Rites, Rest, and Renewal: Capstone: Design a Rite Rooted in Place and Lineage."
2.4.26.07,"Living Rites: Revival, Adaptation, and Resistance",2.4.26,3,1,mixed,0.66,0.7,0.7,0.54,0.66,0.67,0.72,"Advanced module in Rites, Rest, and Renewal: Living Rites: Revival, Adaptation, and Resistance."
2.4.26.08,Archive as Altar: Preservation and Continuation of Rites,2.4.26,3,2,mixed,0.6,0.76,0.68,0.56,0.69,0.67,0.7,"Advanced module in Rites, Rest, and Renewal: Archive as Altar: Preservation and Continuation of Rites."
